Timestamp,Object Temperature(F),Heart Rate Ear(BPM),GSR,Feature_Mean,Weighted_Stress,QuantityIndex_Stress,StressIndex_Level,Predicted_Stress,Condition
00:00,0.5940803382663837,0.13333333333333375,0.8705035971223023,0.5326390895740066,0.5572093530249796,1.7678011396547129,Medium,0.5572093530249791,Base
00:30,0.5708245243128935,0.13333333333333375,0.906474820143885,0.5368775592633708,0.5687452405939938,1.7526601095180467,Medium,0.5687452405939932,Base
01:00,0.5940803382663837,0.13333333333333375,0.935251798561151,0.5542218233869561,0.5863460436724616,1.7678011396547129,Medium,0.586346043672461,Base
01:30,0.5708245243128935,0.13333333333333375,0.9424460431654678,0.5488679669372317,0.584932290953706,1.7526601095180467,Medium,0.5849322909537055,Base
02:00,0.5708245243128935,0.13333333333333375,0.9424460431654678,0.5488679669372317,0.584932290953706,1.7526601095180467,Medium,0.5849322909537055,Base
02:30,0.5708245243128935,0.13333333333333375,0.9568345323741008,0.5536641300067761,0.5914071110975909,1.7526601095180467,Medium,0.5914071110975904,Base
03:00,0.5708245243128935,0.13333333333333375,0.9784172661870505,0.5608583746110926,0.6011193413134183,1.7526601095180467,Medium,0.6011193413134177,Base
03:30,0.5708245243128935,0.13333333333333375,0.985611510791367,0.5632564561458647,0.6043567513853607,1.7526601095180467,Medium,0.6043567513853602,Base
04:00,0.5708245243128935,0.13333333333333375,0.9712230215827338,0.5584602930763204,0.5978819312414757,1.7526601095180467,Medium,0.5978819312414752,Base
04:30,0.5708245243128935,0.20000000000000018,0.9784172661870505,0.5830805968333147,0.6244526746467515,1.7526601095180467,Medium,0.6244526746467509,Base
05:00,0.5708245243128935,0.20000000000000018,0.985611510791367,0.5854786783680869,0.6276900847186939,1.7526601095180467,Medium,0.6276900847186934,Base
05:30,0.5708245243128935,0.20000000000000018,0.985611510791367,0.5854786783680869,0.6276900847186939,1.7526601095180467,Medium,0.6276900847186934,Base
06:00,0.5708245243128935,0.20000000000000018,0.9712230215827338,0.5806825152985425,0.6212152645748089,1.7526601095180467,Medium,0.6212152645748085,Base
06:30,0.5475687103594069,0.20000000000000018,0.9496402877697843,0.5657363327097304,0.6068518715682844,1.7376487607060849,Medium,0.6068518715682838,Base
07:00,0.5475687103594069,0.20000000000000018,0.9640287769784173,0.5705324957792748,0.6133266917121692,1.7376487607060849,Medium,0.6133266917121687,Base
07:30,0.5475687103594069,0.20000000000000018,0.9928057553956835,0.5801248219183636,0.626276331999939,1.7376487607060849,Medium,0.6262763319999385,Base
08:00,0.5475687103594069,0.0,1.0,0.515856236786469,0.5595137420718814,1.7376487607060849,Medium,0.5595137420718808,Base
08:30,0.5475687103594069,0.0,0.9928057553956835,0.5134581552516968,0.556276331999939,1.7376487607060849,Medium,0.5562763319999383,Base
09:00,0.5243128964059203,0.0,0.9712230215827338,0.49851197266288466,0.5419129389934143,1.7227659825119683,Medium,0.5419129389934136,Base
09:30,0.5475687103594069,0.0,0.906474820143885,0.4846811768344306,0.5174274111366297,1.7376487607060849,Medium,0.517427411136629,Base
10:00,0.5475687103594069,0.0,0.8561151079136691,0.46789460609102534,0.49476554063303246,1.7376487607060849,Medium,0.49476554063303196,Base
10:30,0.5475687103594069,0.6000000000000005,0.7553956834532374,0.6343214646042149,0.6594417996258384,2.1253673906924075,High,0.6594417996258382,Base
11:00,0.5475687103594069,0.6000000000000005,0.6618705035971224,0.6031464046521766,0.6173554686905867,2.1253673906924075,High,0.6173554686905864,Base
11:30,0.5475687103594069,0.6000000000000005,0.6402877697841727,0.59595216004786,0.6076432384747593,2.1253673906924075,High,0.6076432384747591,Base
12:00,0.5243128964059203,0.6000000000000005,0.60431654676259,0.5762098143895036,0.5868050253243497,2.1071638433634123,High,0.5868050253243495,Base
12:30,0.5243128964059203,0.6000000000000005,0.5683453237410072,0.5642194067156426,0.5706179749646375,2.1071638433634123,High,0.5706179749646373,Base
13:00,0.5243128964059203,0.6000000000000005,0.5539568345323741,0.5594232436460983,0.5641431548207526,2.1071638433634123,High,0.5641431548207524,Base
13:30,0.5243128964059203,0.6000000000000005,0.5467625899280576,0.5570251621113261,0.5609057447488102,2.1071638433634123,High,0.5609057447488099,Base
14:00,0.5243128964059203,0.6000000000000005,0.5323741007194245,0.5522289990417818,0.5544309246049253,2.1071638433634123,High,0.554430924604925,Base
14:30,0.5243128964059203,0.9333333333333336,0.5107913669064749,0.6561458655485762,0.6613853610557644,2.4447212996031134,High,0.6613853610557645,Base
15:00,0.5243128964059203,0.9333333333333336,0.5179856115107914,0.6585439470833484,0.6646227711277068,2.4447212996031134,High,0.6646227711277068,Base
15:30,0.5243128964059203,0.9333333333333336,0.5467625899280576,0.6681362732224372,0.6775724114154766,2.4447212996031134,High,0.6775724114154766,Base
16:00,0.5243128964059203,0.9333333333333336,0.5467625899280576,0.6681362732224372,0.6775724114154766,2.4447212996031134,High,0.6775724114154766,Base
16:30,0.5243128964059203,0.9333333333333336,0.5467625899280576,0.6681362732224372,0.6775724114154766,2.4447212996031134,High,0.6775724114154766,Base
17:00,0.49894291754756637,0.9333333333333336,0.5755395683453237,0.6692719397420746,0.6854480559315757,2.421887910308201,High,0.6854480559315757,Base
17:30,0.49894291754756637,0.9333333333333336,0.5755395683453237,0.6692719397420746,0.6854480559315757,2.421887910308201,High,0.6854480559315757,Base
18:00,0.49894291754756637,0.9333333333333336,0.5467625899280576,0.6596796136029859,0.6724984156438059,2.421887910308201,High,0.6724984156438059,Base
18:30,0.49894291754756637,0.9333333333333336,0.5467625899280576,0.6596796136029859,0.6724984156438059,2.421887910308201,High,0.6724984156438059,Base
19:00,0.49894291754756637,0.9333333333333336,0.5467625899280576,0.6596796136029859,0.6724984156438059,2.421887910308201,High,0.6724984156438059,Base
19:30,0.49894291754756637,0.9333333333333336,0.5683453237410072,0.6668738582073024,0.6822106458596332,2.421887910308201,High,0.6822106458596332,Base
20:00,0.49894291754756637,0.9333333333333336,0.5971223021582734,0.676466184346391,0.695160286147403,2.421887910308201,High,0.695160286147403,Base
20:30,0.49894291754756637,0.9333333333333336,0.6187050359712231,0.6836604289507077,0.7048725163632303,2.421887910308201,High,0.7048725163632303,Base
21:00,0.49894291754756637,0.9333333333333336,0.6330935251798562,0.688456592020252,0.7113473365071152,2.421887910308201,High,0.7113473365071152,Base
21:30,0.49894291754756637,0.9333333333333336,0.6402877697841727,0.6908546735550242,0.7145847465790577,2.421887910308201,High,0.7145847465790576,Base
22:00,0.47568710359407973,0.9333333333333336,0.6402877697841727,0.6831027355705287,0.7099335837883604,2.4011446960319844,High,0.7099335837883602,Base
22:30,0.47568710359407973,0.9333333333333336,0.6330935251798562,0.6807046540357565,0.7066961737164179,2.4011446960319844,High,0.7066961737164179,Base
23:00,0.47568710359407973,0.9333333333333336,0.60431654676259,0.6711123278966676,0.6937465334286481,2.4011446960319844,High,0.6937465334286481,Base
23:30,0.47568710359407973,0.9333333333333336,0.5611510791366907,0.6567238386880346,0.6743220729969935,2.4011446960319844,High,0.6743220729969934,Base
24:00,0.47568710359407973,0.9333333333333336,0.5035971223021583,0.6375391864098572,0.6484227924214538,2.4011446960319844,High,0.6484227924214538,Base
24:30,0.47568710359407973,0.9333333333333336,0.4676258992805755,0.6255487787359962,0.6322357420617416,2.4011446960319844,High,0.6322357420617417,Base
25:00,0.47568710359407973,0.9333333333333336,0.4676258992805755,0.6255487787359962,0.6322357420617416,2.4011446960319844,High,0.6322357420617417,Base
25:30,0.47568710359407973,0.9333333333333336,0.47482014388489213,0.6279468602707685,0.6354731521336842,2.4011446960319844,High,0.6354731521336842,Base
26:00,0.47568710359407973,0.9333333333333336,0.4676258992805755,0.6255487787359962,0.6322357420617416,2.4011446960319844,High,0.6322357420617417,Base
26:30,0.45243128964058954,0.9333333333333336,0.4460431654676259,0.6106025961471829,0.6178723490552164,2.380579145196206,High,0.6178723490552164,Base
27:00,0.45243128964058954,0.5333333333333341,0.4532374100719425,0.47966734434862207,0.48110975912715903,1.9678312179064559,High,0.4811097591271588,Base
27:30,0.45243128964058954,0.5333333333333341,0.4532374100719425,0.47966734434862207,0.48110975912715903,1.9678312179064559,High,0.4811097591271588,Base
28:00,0.45243128964058954,0.5333333333333341,0.460431654676259,0.48206542588339424,0.4843471691991014,1.9678312179064559,High,0.48434716919910126,Base
28:30,0.45243128964058954,0.5333333333333341,0.48201438848920863,0.4892596704877108,0.4940593994149287,1.9678312179064559,High,0.4940593994149286,Base
29:00,0.45243128964058954,0.5333333333333341,0.47482014388489213,0.48686158895293863,0.4908219893429863,1.9678312179064559,High,0.49082198934298615,Base
29:30,0.45243128964058954,0.5333333333333341,0.4676258992805755,0.4844635074181664,0.4875845792710438,1.9678312179064559,High,0.4875845792710437,Base
